calibration_budget,e3g_participant_macro_log1p_mae,e3g_participant_macro_log1p_rmse,e3g_participant_macro_raw_mae,e3g_skill_vs_population_median,fold_score_mean,fold_score_sd,lh_participant_macro_log1p_mae,lh_participant_macro_log1p_rmse,lh_participant_macro_raw_mae,lh_skill_vs_population_median,model_name,origins,overall_normalized_score,overall_skill_vs_population_median,participants,participants_improved_vs_population_median,pdg_participant_macro_log1p_mae,pdg_participant_macro_log1p_rmse,pdg_participant_macro_raw_mae,pdg_skill_vs_population_median,track
0,0.43297089700124386,0.5342948854245368,47.96953464092062,0.0,0.6339783669912092,0.08916163993727563,0.43456414109013897,0.5843516099370774,3.9258682373126015,0.0,population_median,1369,0.6339783669912095,0.0,20,0.0,0.6657244274877024,0.7977333714448342,4.551745735572389,0.0,few_shot_personalization
0,0.4357376599668051,0.5369302965252835,48.29623753376892,-0.006390182307226322,0.6422500047444812,0.08790728649652443,0.4451653857128052,0.5944783763398634,3.9898736130546246,-0.024395120582365815,diana_h3p,1369,0.6422500047444812,-0.013047192434227695,20,10.0,0.6689199308625109,0.7940706069402692,4.5701312498701885,-0.0048000392397611336,few_shot_personalization
0,0.43957993028250675,0.5405433644339375,48.88743715659455,-0.015264382264574827,0.6478329359731293,0.07350466456243832,0.4491599599931565,0.5957665095552921,4.023399702168835,-0.03358726025208325,catboost,1369,0.6478329359731293,-0.02185337813287247,20,7.0,0.6744571487322323,0.7815437013897438,4.599317451329787,-0.01311762177254816,few_shot_personalization
0,0.5500882340092605,0.6668537075091183,60.62115452623054,-0.27049701912800894,0.8197689291653478,0.09906019198393426,0.5766571544212702,0.7504247798086582,5.049871713203388,-0.3269782292084191,wearable_ridge,1369,0.8197689291653479,-0.2930550502154825,20,2.0,0.8571451438092496,1.0179210934647778,5.972610345167738,-0.2875374680840941,few_shot_personalization
3,0.4106021858185122,0.5080835956303372,45.18563916376632,0.0,0.6108523184435344,0.03141831315289658,0.43307445134136946,0.5828434922032458,3.9075455092019715,0.0,population_median,1369,0.6108523184435343,0.0,20,0.0,0.630636024908612,0.7649051880972427,4.3853470994121455,0.0,few_shot_personalization
3,0.4042046601423047,0.5004317564974132,44.55746223351551,0.015580836871227022,0.6118738502793446,0.025803910433992064,0.44583726896215614,0.5921906786715752,3.9938041185101527,-0.029470262171449102,catboost,1369,0.6118738502793447,-0.0016723057357190818,20,9.0,0.6200190603458707,0.7435890033739561,4.369032072706278,0.016835328372304503,few_shot_personalization
3,0.4041701430593502,0.5030082512051836,45.009576237535235,0.01566490140898813,0.6161881765763184,0.05000690306511742,0.44244743987203955,0.5922581052205923,3.9660362258100177,-0.021642903435284522,diana_h3p,1369,0.6161881765763184,-0.00873510334933325,20,12.0,0.6411297239036743,0.7664350572632697,4.4557108282073825,-0.01663986607264145,few_shot_personalization
3,0.5298870609141885,0.6425893811726862,60.51995843150488,-0.29051203139089155,0.8227129182967697,0.08387707906690912,0.6418496265578006,0.8033136310564067,5.21592216403063,-0.48207686823775453,wearable_ridge,1369,0.8227129182967697,-0.3468278558605804,20,1.0,0.7809708976381008,0.9530736919387287,6.068231023992172,-0.23838611622492456,few_shot_personalization
7,0.3988287027204612,0.4978447795130794,44.163978536256586,0.020913260106442122,0.6071950846473768,0.04390279135403911,0.44161294324101413,0.5917978960431054,3.993389774637629,-0.016110752433772246,catboost,1369,0.6071950846473766,0.009654672382439666,20,13.0,0.6209666235880301,0.7682775257426697,4.4935973793141155,0.03139279422651198,few_shot_personalization
7,0.3940472987290789,0.4940906503979436,44.039645724409155,0.032651154631344936,0.6089178536263901,0.05666988649617739,0.4357372719977448,0.5881644222440341,3.9298514310857575,-0.0025913734856930493,diana_h3p,1369,0.6089178536263901,0.006844807394943531,20,15.0,0.6462183866875033,0.7749987128364886,4.539957151577814,-0.007995860119042186,few_shot_personalization
7,0.4073476705075387,0.5062447171855454,44.7789864621689,0.0,0.6131145043195031,0.04097457176173805,0.4346110324915565,0.5857520471063998,3.96081526712243,0.0,population_median,1369,0.6131145043195033,0.0,20,0.0,0.6410923023147994,0.789621794566515,4.565866423460591,0.0,few_shot_personalization
7,0.5169117528942266,0.6313763528749814,60.25626797075934,-0.2689694585712876,0.8208999538150797,0.11344411156777039,0.6382885223887338,0.8015368971392973,5.287847338220706,-0.4686431651988361,wearable_ridge,1369,0.8208999538150795,-0.3389015396499184,20,1.0,0.8059742974436492,0.9781423176074661,6.435779731137815,-0.2571891668851871,few_shot_personalization
